id,trigger_words,Usage
521cd2e8-dd9f-42c4-98ba-c0c8890ff1ba,"[(0, 12), (27, 46), (48, 71), (131, 162), (164, 178), (180, 210), (213, 222), (224, 252)]",Public
9b2a61e4-d14e-4ff7-b304-e73d720319bf,"[(374, 425)]",Public
f0f1c236-80a8-4d25-b30c-a420a39be632,"[(0, 127)]",Public
31ea05ba-2c2b-4b84-aba7-f3cf6841b204,,Public
a79e13ec-6d9a-40b5-b54c-7f4f743a7525,"[(87, 103), (127, 136), (170, 189), (204, 255), (265, 289), (299, 308)]",Public
d7395991-9bea-42c8-a999-4634b917f0eb,"[(0, 155)]",Public
b8941fdc-bbd6-4199-802a-f87bef2244c2,,Public
f5a1fbe5-43d6-4f07-ab6f-93b8d6984e57,"[(89, 113), (232, 251)]",Public
6f6f382b-8b90-4b18-951f-109a8c5b0406,"[(21, 116), (119, 157), (160, 240)]",Public
b0a8c454-62cf-4a0d-a42b-176d7664b78b,"[(820, 980)]",Public
37bf798a-3156-4eae-9d8e-cbd957e19ae8,"[(30, 174), (176, 243), (704, 737), (815, 853)]",Public
d6a29c71-5ff8-4ecf-a22a-64621911ed5b,"[(4, 97)]",Public
a39e00bb-702c-4acd-8bd8-124b9a4661f0,,Public
e0b3564d-3ffb-4f7a-ac51-bb13a22342a8,"[(0, 232)]",Public
098e1c91-22c4-4f49-8e6e-a471bc108ab3,"[(9, 75), (77, 176), (178, 268), (376, 568), (570, 696), (698, 805)]",Public
508e7f83-84a4-4940-b7e1-49a4284577d4,"[(84, 141), (1284, 1298)]",Public
4ebe44ea-0432-406e-bbb8-ec83c146ba0b,"[(5, 20), (30, 80)]",Public
c7f6d9b4-9e8c-4cfc-a8f5-f5111c1704f0,"[(12, 74)]",Public
a12faf39-d870-4819-9911-bea33f2ee158,,Public
d22586a5-48ba-4f43-b729-8a029e374732,"[(317, 340), (567, 581), (812, 873), (905, 928), (931, 966), (1026, 1049), (1105, 1144), (1281, 1317)]",Public
83b1f511-296e-4cb9-a759-cf3076098a32,"[(146, 170), (270, 321), (329, 348), (351, 488)]",Public
4aafdaf9-8d2c-42ef-a493-38a50306c42a,,Public
272b5cb6-4706-4787-ba4c-fd856cc12373,,Public
deede68d-63a5-4268-b58d-4af22642af5c,"[(95, 123), (180, 223), (281, 450), (453, 473), (486, 518), (534, 610), (612, 723), (725, 831)]",Public
3222ff30-f14b-4cc0-a787-0f14d1b72480,,Public
ae5bb90f-5bb9-4e03-8f6f-af31f62e0831,"[(0, 151)]",Public
74c55250-3e42-4c95-b7dc-18964228fcd5,"[(450, 452)]",Public
27374035-9952-4dab-890e-32692bda37db,"[(22, 31), (438, 465)]",Public
3a36cb9c-90f2-46ee-8262-b512e2f5bec8,"[(2, 52)]",Public
1b625af8-0e46-4b32-b330-d00b98bf0804,"[(408, 427), (433, 449), (457, 477), (479, 487), (489, 497), (520, 700), (793, 811), (817, 835), (934, 951), (1196, 1201), (1285, 1320), (1616, 1644), (2379, 2435)]",Public
4a7db063-7779-411e-b77a-f93567a40e12,"[(0, 138), (141, 200)]",Public
b23d31fd-0c3f-4b96-919a-e9f897110a1a,"[(101, 131), (240, 310)]",Public
0cef6099-5f35-4508-9fba-901fcc29e97f,,Public
a03db8f6-7272-4cad-a974-3bd0fcaf2978,"[(478, 490), (493, 507)]",Public
6a500038-f060-42c2-bd8c-b73a5d976589,"[(45, 60), (100, 118), (120, 121)]",Public
346fc1f7-7b3e-47ab-8cae-8c36603573ce,,Public
81ae6f4f-ae8a-4c21-abb4-00d442daef32,"[(0, 146), (316, 340), (372, 403), (416, 452), (457, 468), (510, 522), (572, 602)]",Public
0fdfd17b-7b45-4666-8eac-3cdf965cb073,"[(139, 219)]",Public
08609599-9deb-4a38-a414-c5abe7274dd4,"[(127, 227)]",Public
734b11af-2fcc-45d3-8929-1027672545a4,,Public
47365de2-5b4f-4d3b-a978-3793ca9cd9d9,"[(2, 22), (24, 36), (38, 53), (133, 161)]",Public
20ed6781-226a-4a5a-8d1a-6eb8ae28228c,,Public
1485eb75-decd-4f7a-a141-3e3c3e2ba990,"[(0, 37), (577, 646), (648, 670)]",Public
769db323-937b-418a-9547-a8b72232b049,"[(326, 340), (549, 558), (2194, 2209), (2244, 2263), (2312, 2353), (2357, 2389)]",Public
9730548e-b4fd-4ac2-8d33-9238313abccc,"[(184, 218), (324, 342), (344, 483)]",Public
ea909b96-a835-4b11-a9e1-88ddf665a6a3,,Public
eee09e83-1252-4cd1-8e46-120e74093add,"[(64, 108), (442, 466)]",Public
c5350503-77c1-4c0c-be46-091940887b89,,Public
270c95e0-691d-4fb6-84a5-ab3fab6f6369,"[(0, 181)]",Public
becfc8a8-8415-4f96-bea8-0ccd00798692,,Public
b90b389e-9ca1-4d72-850d-3752a7e971d6,,Public
17de20fd-a181-4aa4-92d7-3fd5a7ebd24b,"[(33, 49), (51, 94), (134, 164), (166, 190), (264, 330), (394, 410)]",Public
aabd6409-3ef9-44dd-9f99-2165edfe9fd8,"[(1364, 1399)]",Public
1c32a9ab-6954-4c32-8519-ee4edacef030,,Public
e00756d1-8986-479b-adc7-0b70cc0d146f,"[(33, 75), (638, 658)]",Public
a503facd-4251-4e2a-ad97-2ae58f83b922,,Public
51f903ee-320a-47bb-911f-21646d128bec,"[(13, 43), (113, 136), (138, 258), (384, 410), (469, 606), (631, 650), (662, 848), (850, 919), (921, 1013), (1035, 1072), (1081, 1106), (1113, 1443), (1559, 1774), (2082, 2116), (2118, 2192), (2261, 2271), (2312, 2367), (2369, 2430), (2433, 2591), (2615, 2698), (2812, 2847), (2868, 2911), (3035, 3434), (3448, 3596), (3604, 3912), (3915, 4084)]",Public
6dd9ee74-38f7-4f98-83bc-2685c7dc8f03,,Public
2fc5ace5-d3a5-40e4-8983-8b0c5b42fe4b,,Public
acd588d2-e240-43d7-859f-b3971316323f,,Public
eaa33011-46d2-4ebc-8937-acaebe3cecaf,,Public
77bb4115-3fa2-4fd4-a1b1-f4a8cc01d83b,"[(111, 319), (323, 711), (798, 833)]",Public
e07f78bb-bf84-4cee-8a8e-6dc3fb4eabc6,,Public
753ed054-f374-4fdc-a291-599527c2da92,"[(119, 180)]",Public
11f60f92-d9c6-4f8f-bc3d-5e1e481f9b55,,Public
ea1d3ed0-11b1-4545-a055-1a39c6c67e83,"[(85, 95), (190, 206), (360, 393)]",Public
e41bfa54-0ba5-41e1-9912-ed1c2246a550,"[(4, 107), (117, 144)]",Public
37ddf227-b1b0-4519-9c10-ab957928e1ec,"[(121, 173)]",Public
d77d1803-fb2a-436a-9bb4-8eed0e4b3fbe,"[(21, 33), (162, 204), (214, 262), (267, 298), (300, 327)]",Public
64118fb0-82b5-43a9-9dab-5ee116530d40,"[(244, 298), (390, 393), (395, 417), (419, 439), (441, 482)]",Public
c7e96c72-31f3-4afe-87db-d9d76f04522f,"[(0, 71), (73, 139), (142, 289), (380, 591), (605, 994)]",Public
1344f2fd-b7de-4000-abcc-2c3713fae469,,Public
ecb7f623-f8f1-4b23-945e-6508cd703580,"[(51, 263)]",Public
9143bb42-e001-4c05-a3b6-02d3bc75102b,"[(10, 16)]",Public
e9245f03-818f-4da1-af84-ea54a45d2202,,Public
37bf929d-9235-4cd0-8a7a-6f454299e615,,Public
1c50e7ec-4d62-42cd-a103-4f37d10da350,"[(3, 171), (173, 286)]",Public
4a6dcffd-0cee-4f16-9e82-985fa5c0ce1e,,Public
caee9579-ac3d-4c8f-b554-e5d1e359fce9,,Public
f4da2413-e371-46d3-9909-677117f29947,"[(515, 582), (754, 783)]",Public
46349c59-a7c5-4edb-9b4c-4018ebc48365,"[(77, 120), (123, 211), (213, 330), (336, 430), (432, 816), (1333, 1872), (1995, 2282), (2607, 2994)]",Public
f5678ed7-31f1-460d-bbff-4c3330fa4a7b,"[(4, 180), (226, 517), (520, 793), (798, 918), (1086, 1326)]",Public
02a7526e-7e92-4228-926c-e310dc485b35,"[(0, 450)]",Public
f9d773e1-b35d-4b59-8b7e-226a73e304a7,,Public
e0a0dff9-06dc-4e3b-8c93-a8bb72dce66b,,Public
74dca9db-33e5-49b7-95ee-da49906f1b17,"[(3, 111)]",Public
d066e887-ac48-4c15-ad6d-39e55abe2717,,Public
1af14d5c-c861-489e-9ca0-cb25cd5e15fb,"[(42, 94), (122, 529), (636, 656), (679, 697), (705, 730), (1034, 1061), (1172, 1206), (1214, 1255), (1257, 1460)]",Public
93899c2c-7b7d-4675-824a-e406559a6068,,Public
20cb9269-874e-4f6d-bb23-fa0e6a91b922,"[(42, 90), (92, 224), (265, 303), (306, 355), (357, 401)]",Public
4eff4d00-2d62-4661-9389-da8b3ec4f9d2,,Public
c3f4271f-6e7c-4746-b18d-7d07ba32502e,"[(779, 881), (1572, 1616), (1661, 1707)]",Public
4e8c5f78-788e-4b7f-8e72-ad50c500e5c7,"[(724, 849), (942, 1013), (1073, 1098), (1100, 1116)]",Public
